Id;Bron_id;Bedrijfsnaam;Hoeveelheid_stof;Type_stof
4;2;ALBEMARLE CATALYSTS BV;240  ton;VERPAKTE GEVAARLIJKE STOFFEN (BRANDBAAR)
8;6;DIERGAARDE CHEMICAL STORAGE;>10  ton;VERPAKTE GEVAARLIJKE STOFFEN
15;8;JAAP EDEN IJSCOMPLEX;9,9 ton;AMMONIAK
7;5;CHEMTURA;66,4 m3 onder druk;AMMONIAK
1;10;ACT;> 10 ton;DIVERSE GEVAARLIJKE STOFFEN IN CONTAINERS
29;25;VOPAK TERMINAL AMSTERDAM BV;80.732 m3;ZWAARDERE AARDOLIEFRACTIES (K3 en K4)
20;24;NUSTAR TERMINAL BV;615.000 m3;BENZINE EN ANDERE AARDOLIEFRACTIES
9;18;EUROTANK AMSTERDAM BV;35 ton;BUTAAN
31;39;VOS OLIE EN GAS PRODUCTEN BV;>PBZO grens;PROPAAN EN GIFTIGR GASSEN
7;51;CHEMTURA;130 ton;DICHLOORTOLUEEN (GIFTIG)FFEN
23;53;POLITIE TRAINING OPLEIDINGCENTRUM;16,1 M3;PROPAAN
16;56;KOPPERS NETHERLANDS BV;27.253 m3;TEER EN TEERPRODUCTEN
4;3;ALBEMARLE CATALYSTS BV;425 ton;AMMONIA (25%)
9;19;EUROTANK AMSTERDAM BV;25.000 ton;BRANDBARE VLOEISTOFFEN
21;54;NV NEDERLANDSE GASUNIE (MENR SLOTEN);?;METHAAN
