Id|Locatienaam|Type_onderzoek|Rapportnummer|Naam_boring|Grondwaterstand|Naam_monster|Bovenkant|Onderkant|Eindoordeel|Dichloorethaan_11|Dichlooretheen_11|Trichloorethaan_111|Trichloorethaan_112|Dichloorethaan_12|Dichlooretheen_12|Dichloorpropaan_12|Dichloorpropeen_13|Arseen|Barium|Benzeen|Cadmium|Chloride|Chloroform|Cis_dichlooretheen_12|Cobalt|Dichloorbenzenen|Dichloormethaan|Ethylbenzeen|Koper|Kwik|Lood|Minerale_olie|Molybdeen|Monochloorbenzeen|Naftaleen|Nikkel|Ph|Styreen|Tetrachlooretheen|Tetrachloormethaan|Tolueen|Trans_dichlooretheen_12|Tribroommethaan|Trichlooretheen|Trichloormethaan|Vinylchloride|Xylenen|Zink|Xcoordinaat|Ycoordinaat|geometrie
34|OCTAANWEG|1|24029542|20072|0|Pb105A|2|3|-|-0,5|-1|-0|-0|-1|-1|-1|0|-3|0|-0|-0|0|0|-1|0|-0|-1|-0|-1|-0|2|-50|0|-0|-0|-1|7|0|-0|-0|-0|-1|0|-0|-0|0|-0|-5|117239|491855|POINT (117263.84 491968.03)
35|OCTAANWEG|1|11093875|3103|0|Pb10A|2|3|>S|-0,5|-1|-0|-0|-1|-1|-1|0|-2|0|-0|-0|0|0|-1|0|0|-1|-0|-1|-0|-1|-50|0|0|-0|2|0|0|-0|-0|-0|-1|0|-0|-0|0|-0|-5|117170|491832|POINT (117194.83 491945.03)
36|OCTAANWEG|1|11093875|3115|0|Pb10A|2|3||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|117170|491832|POINT (117194.83 491945.03)
37|AMERIKAHAVENWEG: Van Nieuwpoort BV|13|24017210|3A|1|3A|2|3|>S|-0,5|-1|-0|0|-1|-1|-1|0|3|0|-0|-0|0|0|0|0|0|-1|-0|-1|0|-1|-50|0|0|-0|-1|0|0|-0|-0|-0|0|0|-0|-0|0|-0|-5|114648|491100|POINT (114672.52 491212.92)
38|VIKINGPAD 24|1|11085210|524|0|3680068|2|3|>T|-0,5|-1|-0|0|-1|-1|-1|0|8|0|-0|0|0|0|0|0|0|-1|0|2|0|-1|-50|0|0|-0|56|0|0|-0|-0|1|0|0|-0|-0|0|1|33|122716|491617|POINT (122741.52 491730.05)
39|FRAIJLEMABORG 131-141|1|11084168|4|1|4A|2|3|>S|-0,5|-1|-0|0|-1|-1|-1|0|-2|0|-0|-0|0|0|0|0|0|-1|-0|1|-0|2|250|0|0|-0|-1|0|0|-0|-0|1|0|0|-0|-0|0|-0|27|125014|480951|POINT (125039.9 481062.81)
40|ZIJKANAAL H-WEG (Noorder IJplas)|1|11020484|2215|0|1950149|2|3|>S|-0,5|-1|-0|0|-1|-1|-1|0|20|0|-0|-0|0|0|-1|0|0|-1|-0|-2|-0|-3|0|0|0|-0|7|0|0|-0|-0|1|0|0|-0|-0|0|0|135|119796|493031|POINT (119821.15 493144.19)
41|ZIJKANAAL H-WEG (Noorder IJplas)|1|11020484|2224|0|1950158|2|3|>S|-0,5|-1|-0|0|-1|-1|-1|0|18|0|0|-0|0|0|2|0|0|-1|-0|-2|-0|-3|0|0|0|-0|5|0|0|-0|-0|1|0|0|-0|-0|0|1|49|119184|492226|POINT (119209.08 492339.09)
42|ZIJKANAAL H-WEG (Noorder IJplas)|1|11020484|2239|0|1950167|2|3|-|-0,5|-1|-0|0|-1|-1|-1|0|-3|0|-0|-0|0|0|-1|0|0|-1|-0|-2|-0|-3|0|0|0|-0|-2|0|0|-0|-0|0|0|0|-0|-0|0|-0|12|119090|492480|POINT (119115.06 492593.12)
43|ZIJKANAAL H-WEG (Noorder IJplas)|1|11020484|2241|0|1950394|2|3|>S|-0,5|-1|-0|0|-1|-1|-1|0|3|0|-0|0|0|0|-1|0|0|-1|-0|4|-0|4|0|0|0|-0|4|0|0|-0|-0|0|0|0|-0|-0|0|0|16|119882|493082|POINT (119907.16 493195.2)
44|ZIJKANAAL H-WEG (Noorder IJplas)|1|11020484|2242|0|1950395|2|3|>S|-0,5|-1|-0|0|-1|-1|-1|0|17|0|-0|-0|0|0|-1|0|0|-1|-0|-2|-0|-3|0|0|0|-0|3|0|0|-0|-0|0|0|0|-0|-0|0|-0|72|120006|493049|POINT (120031.17 493162.19)
45|ZIJKANAAL H-WEG (Noorder IJplas)|1|11020484|2251|0|1950408|2|3|-|-0,5|-1|-0|0|-1|-1|-1|0|-3|0|-0|-0|0|0|-1|0|0|-1|-0|-2|-0|-3|0|0|0|-0|-2|0|0|-0|-0|0|0|0|-0|-0|0|0|-5|119933|493196|POINT (119958.16 493309.21)
46|ZIJKANAAL H-WEG (Noorder IJplas)|1|11020484|2256|0|1950416|2|3|-|-0,5|-1|-0|0|-1|-1|-1|0|-3|0|-0|-0|0|0|-1|0|0|-1|-0|-2|-0|-3|0|0|0|-0|-2|0|0|-0|-0|0|0|0|-0|-0|0|-0|5|119432|493672|POINT (119457.09 493785.26)
47|ZIJKANAAL H-WEG (Noorder IJplas)|1|11020484|2258|0|1950632|2|3|-|-0,5|-1|-0|0|-1|-1|-1|0|0|0|-0|-0|0|0|-1|0|0|-1|-0|-2|-0|-3|0|0|0|-0|-2|0|0|-0|-0|0|0|0|-0|-0|0|0|50|119368|493581|POINT (119393.09 493694.25)
