WKT,Kenmerk,Datum,Soort_hand,Bron1,Datum1,Intekening,Nauwkeurig,Opmerkinge,Oorlogsinc,Hyperlink
"POINT (122060.259199999 489504.4465)",KR_430722001,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (121959.981899999 489558.6862)",KR_430722002,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122017.661200002 489506.827799998)",KR_430722003,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (121990.673700001 489494.127700001)",KR_430722004,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (121977.179900002 489486.454799999)",KR_430722005,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122003.3737 489395.438)",KR_430722006,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122045.6961 489285.781199999)",KR_430722007,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (121995.742600001 489280.912799999)",KR_430722008,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122035.3376 489253.038899999)",KR_430722009,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122247.1052 489018.855700001)",KR_430722010,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122228.353300001 488972.1369)",KR_430722011,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122111.541099999 488914.652100001)",KR_430722012,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122522.206300002 488914.6362)",KR_430722013,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122509.03 488892.2524)",KR_430722014,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122674.818300001 488841.611)",KR_430722015,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122719.268399999 489009.807)",KR_430722016,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122800.151700001 489011.6061)",KR_430722017,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122628.906399999 488978.205699999)",KR_430722018,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122608.268800002 489020.909600001)",KR_430722019,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122681.135200001 489036.6259)",KR_430722020,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122700.1897 488955.076699998)",KR_430722021,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122741.147300001 488970.422600001)",KR_430722022,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122926.620499998 488989.472600002)",KR_430722023,,Krater,D-855_4042.jpg,1943/07/22,Luchtfoto,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (121966.472199999 489514.561700001)",BI_430717003,,Bominslag,SA-402_27538 Bomb plot,1943/07/17,Bomb plot,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122073.846099999 489312.485300001)",BI_430717004,,Bominslag,SA-402_27538 Bomb plot,1943/07/17,Bomb plot,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (121979.143599998 489259.1318)",BI_430717005,,Bominslag,SA-402_27538 Bomb plot,1943/07/17,Bomb plot,5 meter,,RAP_430717A,RAP_430717A.pdf
"POINT (122064.509199999 489269.802499998)",BI_430717006,,Bominslag,SA-402_27538 Bomb plot,1943/07/17,Bomb plot,5 meter,,RAP_430717A,RAP_430717A.pdf
