Id|Type|Tma_id|Bouwhoogte|Helling|geometrie
4|hellend vlak 0-3.5 m (helling 0.2 graden)|6|0.0-2.5|0,2%|POLYGON ((115236.42 481380.9,115336.35 481291.09,115339.67 481294.74,115373.11 481264.81,115398.81 481293.63,115392.56 481297.8,115382.67 481306.69,115296.59 481383.75,115236.42 481380.9))
5|hellend vlak 0-3.5 m (helling 0.2 graden)|6|3.0-3.5|0,2%|POLYGON ((110728.02 483459.67,110749.33 483483.44,110749.68 483483.83,110770.81 483506.98,110804.09 483539.34,110824.53 483560.24,110835.63 483578.61,110850.45 483595.27,109997.33 483650.82,110107.98 483500.04,110728.02 483459.67))
6|hellend vlak 0-3.5 m (helling 0.2 graden)|6|2.5-3.0|0,2%|POLYGON ((110606.41 483324.02,110728.02 483459.67,110107.98 483500.04,110218.63 483349.27,110606.41 483324.02))
7|hellend vlak 0-3.5 m (helling 0.2 graden)|6|2.0-2.5|0,2%|POLYGON ((110562.88 483183.28,110569.37 483282.71,110606.41 483324.02,110218.63 483349.27,110329.29 483198.49,110562.88 483183.28))
8|hellend vlak 0-3.5 m (helling 0.2 graden)|6|0.0-1.5|0,2%|POLYGON ((110439.94 483047.72,110544.73 482904.94,110553.56 483040.32,110439.94 483047.72))
9|hellend vlak 0-3.5 m (helling 0.2 graden)|6|1.5-2.0|0,2%|POLYGON ((110329.29 483198.49,110439.94 483047.72,110553.56 483040.32,110562.88 483183.28,110329.29 483198.49))
10|hellend vlak 0-3.5 m (helling 0.2 graden)|6|3-3.5.0|0,2%|POLYGON ((111782.39 483391.02,111911.66 483526.18,111029.24 483583.63,111025.8 483531,111034.32 483523.63,111034.24 483519.39,111101.57 483458.7,111129.61 483433.53,111782.39 483391.02))
11|hellend vlak 0-3.5 m (helling 0.2 graden)|6|2.5-3.0|0,2%|POLYGON ((111782.39 483391.02,111129.61 483433.53,111171.61 483395.82,111172.38 483394.89,111172.42 483394.96,111177.31 483400.47,111190.99 483388.33,111208.63 483372.68,111315.5 483277.85,111653.12 483255.87,111782.39 483391.02))
12|hellend vlak 0-3.5 m (helling 0.2 graden)|6|2.0-2.5|0,2%|POLYGON ((111523.85 483120.72,111653.12 483255.87,111315.5 483277.85,111318.81 483274.91,111322.8 483271.37,111327.9 483266.84,111332.79 483262.5,111335.76 483259.87,111327.52 483133.5,111523.85 483120.72))
13|hellend vlak 0-3.5 m (helling 0.2 graden)|6|0.0-1.5|0,2%|POLYGON ((111318.19 482990.54,111317.19 482975.25,111322.6 482926.02,111321.5 482909.16,111394.57 482985.56,111318.19 482990.54))
14|hellend vlak 0-3.5 m (helling 0.2 graden)|6|1.5-2.0|0,2%|POLYGON ((111318.19 482990.54,111394.57 482985.56,111523.85 483120.72,111327.52 483133.5,111318.19 482990.54))
15|hellend vlak 0-3.5 m (helling 0.2 graden)|6|0.0-1.5|0,2%|POLYGON ((110241.43 480001.82,110354.87 479994.43,110363.69 480129.65,110241.43 480001.82))
16|hellend vlak 0-3.5 m (helling 0.2 graden)|6|1.5-2.0|0,2%|POLYGON ((110112.16 479866.67,110345.55 479851.47,110354.87 479994.43,110241.43 480001.82,110112.16 479866.67))
17|hellend vlak 0-3.5 m (helling 0.2 graden)|6|2.0-2.5|0,2%|POLYGON ((109982.89 479731.51,110336.22 479708.51,110345.55 479851.47,110112.16 479866.67,109982.89 479731.51))
18|hellend vlak 0-3.5 m (helling 0.2 graden)|6|2.5-3.0|0,2%|POLYGON ((109982.89 479731.51,109853.62 479596.36,110326.9 479565.54,110336.22 479708.51,109982.89 479731.51))
19|hellend vlak 0-3.5 m (helling 0.2 graden)|6|3.0-3.5|0,2%|POLYGON ((109853.62 479596.36,109724.34 479461.21,110317.57 479422.58,110326.9 479565.54,109853.62 479596.36))
20|hellend vlak 0-3.5 m (helling 0.2 graden)|6|2.0-2.5|0,2%|POLYGON ((111160.94 479798.38,111159.65 479794.96,111157.82 479790.2,111222.2 479733.54,111237.36 479768.32,111245.95 479791.31,111246.54 479792.81,111160.94 479798.38))
21|hellend vlak 0-3.5 m (helling 0.2 graden)|6|0.0-2.0|0,2%|POLYGON ((111160.94 479798.38,111246.54 479792.81,111260.46 479828.09,111266.72 479843.38,111207.92 479923.5,111160.94 479798.38))
22|hellend vlak 0-3.5 m (helling 0.2 graden)|6|2.0-2.5|0,2%|POLYGON ((111139.61 479656.2,111116.3 479677.01,111108.71 479658.21,111139.61 479656.2))
23|hellend vlak 0-3.5 m (helling 0.2 graden)|6|2.5-3.0|0,2%|POLYGON ((111130.91 479513.21,111131.41 479514.35,111138.05 479529.29,111141.37 479533.23,111142.13 479534.74,111149.41 479550.87,111173.3 479611.22,111176.52 479623.26,111139.61 479656.2,111108.71 479658.21,111059.02 479535.15,111056.12 479528.41,111051.78 479518.35,111130.91 479513.21))
